1	97
2	124
3	108
4	83
5	39
6	12
7	13
8	6
9	6
10	349
1	109
2	116
3	116
4	80
5	28
6	18
7	12
8	6
9	8
10	340
1	107
2	114
3	119
4	52
5	32
6	15
7	16
8	5
9	8
10	365
1	89
2	134
3	131
4	77
5	36
6	27
7	11
8	4
9	6
10	318
1	101
2	136
3	102
4	66
5	37
6	22
7	9
8	4
9	8
10	348
1	93
2	116
3	118
4	61
5	36
6	14
7	10
8	14
9	7
10	364
1	101
2	129
3	110
4	62
5	34
6	17
7	12
8	15
9	7
10	346
1	101
2	109
3	112
4	67
5	41
6	18
7	10
8	8
9	16
10	351
1	84
2	135
3	111
4	72
5	31
6	21
7	14
8	12
9	8
10	345
1	111
2	103
3	132
4	72
5	30
6	15
7	12
8	10
9	10
10	338
1	87
2	125
3	108
4	75
5	22
6	17
7	11
8	6
9	11
10	371
1	89
2	116
3	109
4	67
5	46
6	20
7	12
8	11
9	7
10	356
