Name	Actb	Ahcy	Aqp3	Atp12a	Bmp4	Cdx2	Creb312	Cebpa	Dab2	DppaI	Eomes	Esrrb	Fgf4	Fgfr2	Fn1	Gapdh	Gata3	Gata4	Gata6	Grhl1	Grhl2	Hand1	Hnf4a	Id2	Klf2	Klf4	Klf5	Krt8	Lcp1	Mbnl3	Msc	Msx2	Nanog	Pdgfa	Pdgfra	Pecam1	Pou5f1	Runx1	Sox2	Sall4	Sox17	Snail	Sox13	Tcfap2a	Tcfap2c	Tcf23	Utf1	Tspan8
2C	-1.783846	-0.981397	-2.322943	-0.709285	-0.333614	-0.282736	1.103785	1.053565	-2.059282	0.420120	-1.277760	1.126736	2.096677	-0.079041	0.319531	-0.081519	-0.806534	1.577887	-1.453198	1.308307	1.097990	-0.389193	0.834714	0.077147	0.609299	1.067419	-0.979978	-1.604481	-0.393006	0.583379	-0.915665	-0.962438	-1.905147	-1.466960	-0.823761	1.524287	0.309678	-1.473127	0.525528	1.405677	-0.911816	1.971054	1.428829	-0.189300	1.066816	-1.027657	-0.064848	0.427364
2C	-1.645819	-1.448604	0.176570	-0.875581	-0.512202	0.001449	-0.853059	0.840188	-1.077294	0.200563	0.209339	1.431336	-0.970960	-0.658442	0.434771	0.072538	-1.077793	1.134322	-1.384708	1.837908	0.648088	-0.011074	0.923872	0.161173	0.883817	1.120469	-1.342937	-1.726767	-0.437509	0.675009	-1.100202	-1.140536	0.011114	0.094383	0.517988	1.574141	0.517588	-1.637474	1.857047	1.127991	-2.917006	1.673040	0.266970	0.302883	0.128400	-1.197806	-1.621924	0.312862
2C	-2.123545	-1.628178	-0.056635	-0.918583	-0.558382	-1.618856	-0.891468	0.888933	-2.255888	0.157194	-0.538260	1.258308	0.853021	-0.598291	0.770177	0.476303	-0.781347	1.273286	-1.669990	1.626021	0.882424	-1.405738	1.000915	-0.003444	1.000004	1.036399	-0.953641	-1.758388	-0.534816	1.027083	-1.147920	0.156018	-0.279157	0.078803	0.079243	1.397619	0.471080	-1.679972	1.372957	1.215491	0.006768	1.789438	1.232831	0.543318	0.148723	-1.241804	-1.663697	0.211589
2C	-1.609036	-1.278646	-2.203282	0.999734	-0.202266	-0.720256	-0.595281	-0.832273	-1.944391	0.432856	-0.910721	0.727022	2.077829	-0.185460	0.113317	0.278762	-0.974739	1.482328	-2.603691	1.731670	1.262305	-1.155767	1.276023	0.237554	0.769578	1.064845	-0.426012	-1.514543	-0.739225	0.360943	-0.779942	-0.831451	-0.625627	-0.901347	-0.727210	1.608662	0.255526	-1.352254	0.577917	0.991563	-0.114218	1.932597	1.378586	0.815875	1.001948	-0.902516	-0.466207	0.714675
2C	-1.787487	-3.209175	-2.217901	0.537289	-0.218313	-1.323986	0.391705	0.649624	-1.958428	0.308484	-0.617872	1.060574	2.054981	-0.194456	0.662342	-0.076360	-0.924085	1.532024	-2.619653	1.346947	1.352838	-0.090560	-0.426888	0.202959	0.795514	1.094710	-0.554568	-1.457098	-1.422052	0.111598	-0.796523	-0.847454	-0.379835	-0.432608	-0.617410	1.683048	0.093808	0.104514	0.896518	1.155626	-0.302662	1.908459	1.450775	-0.635122	1.077860	-0.917805	-1.356079	0.751455
2C	-1.532429	-3.222100	-0.555107	-0.609670	-0.226637	-0.823433	-0.615550	-0.852183	-1.965708	0.322558	-0.496782	1.226783	1.297315	-0.876367	0.241866	0.730039	-1.196355	1.395157	-2.627932	1.517819	1.164984	0.618079	1.055890	-0.824542	1.092627	1.511351	-2.205299	-1.531230	-0.565446	1.000631	-0.805124	-0.855755	-1.810725	-0.077971	0.461914	1.659470	0.517582	0.299060	0.105031	0.865218	0.012010	1.994338	-0.166793	0.912566	0.322154	0.347584	-1.363609	0.788758
2C	-1.637895	-2.386172	-2.410018	0.914740	-0.429192	-0.515129	0.856178	0.839062	-2.142885	0.552862	-0.896618	1.222331	1.933999	-0.621493	0.035910	0.156251	-0.998061	1.562484	-2.829406	1.335057	0.931036	1.121856	0.739012	-0.121070	0.489200	1.040687	-0.620888	-1.669927	-1.104784	0.808657	-1.014427	0.566252	-1.670448	-1.003605	0.000485	1.337796	0.086744	-1.561084	0.320596	1.165834	-1.278118	1.954211	1.422122	-0.258041	1.267608	-1.118719	-1.177756	0.529426
2C	-1.440617	-2.655900	-2.594505	0.911146	-0.631697	-0.217034	1.109547	0.899200	-2.320017	0.205912	-0.228755	0.768958	1.769644	-0.277011	0.323868	-0.114231	-0.824789	1.597205	-3.030830	1.533438	1.094275	-1.457200	1.165850	-0.237886	0.439362	1.176532	-1.267716	-0.643309	-1.766519	0.647070	-1.223677	-1.259702	-1.010975	-1.474877	0.498069	1.429886	-0.131067	0.049999	0.743869	1.043014	-0.434198	1.997345	1.005496	0.589183	1.146610	0.184437	-1.730016	0.453490
2C	-1.395562	-1.979410	-1.427922	1.097383	-0.870963	-1.239312	-1.151446	0.930038	-1.428429	0.028363	-0.896837	1.020299	2.004061	-0.543278	0.594542	-0.562336	-1.700893	1.498837	-1.702039	1.227473	0.900212	1.394637	-1.057611	-0.156637	0.739563	1.130267	-1.164171	-0.194652	-1.060834	0.949324	-1.470914	-1.498312	-0.601366	-1.864654	-0.215061	1.309212	-0.441398	0.319641	0.990379	0.808738	-0.868076	1.832041	1.188336	0.210777	0.784579	-0.510203	-1.946450	0.725822
2C	-1.410103	-1.388157	-1.067137	0.114469	-0.756998	-1.590332	0.695899	0.904107	-2.429619	0.269715	0.305335	0.886177	1.841118	-0.373131	0.011891	0.077587	-3.904562	1.404869	-1.213269	1.289228	0.843393	1.383931	-0.947475	0.342971	1.063567	1.097916	-1.844887	-0.425725	-0.262636	0.978040	-1.353152	-1.384660	-1.264072	-1.182327	0.142400	1.063416	-0.631263	-0.527213	1.111421	0.120119	-0.374969	2.003046	0.938015	-1.502481	0.377923	-0.824088	-0.493072	0.793069
2C	-1.994240	-1.302794	-0.940085	-0.790839	-0.421196	-0.457864	1.040138	0.757330	-2.135891	0.125858	-1.536825	0.998832	2.119496	-0.699582	0.839323	0.270668	-1.717206	1.422595	-2.821453	1.288974	1.260417	-0.168041	0.865607	-0.069898	0.819350	0.931426	-1.976770	-0.363099	-0.109390	-0.162348	-1.006165	-1.049780	-1.982450	0.573333	0.032283	1.426979	0.168987	-1.553726	1.306275	0.796521	-0.717515	1.846732	1.205862	0.477405	0.799939	-1.111101	-1.539602	0.639488
2C	-1.899526	-3.069662	-0.552342	-0.518262	0.315228	-0.606111	-0.533905	-0.771985	-1.879842	0.424589	-1.087726	0.690308	2.124014	0.097820	0.929878	0.580678	-1.852095	1.460270	-2.530290	1.678974	0.927082	-1.103968	1.467906	0.556286	0.220732	1.068128	-0.495386	-0.450533	-1.354065	0.172240	-0.703689	-0.757859	-1.724081	-3.632198	0.548894	1.480479	0.599477	-0.208703	1.368832	0.439067	-0.039218	1.941369	1.355901	0.549917	1.236699	-0.832208	-1.274811	0.614200
2C	-1.733693	-1.400340	-1.054922	-0.159390	-0.575212	-0.145413	0.927320	-1.136957	-1.229342	-0.102909	-0.861165	0.895560	2.070102	-0.530150	0.523739	-0.238016	-1.006088	1.682402	-1.334581	1.264802	0.253757	-1.417551	1.581177	0.293623	0.761379	1.036081	-1.429994	-1.769912	-1.050816	0.529543	-1.165311	0.064458	-0.873867	-1.103604	-1.001355	1.480705	0.095907	-1.695460	0.627715	1.059795	-0.149049	2.079730	1.383932	0.303518	1.309778	0.720532	-1.678921	0.683941
2C	-1.717660	-0.652930	-2.168271	-0.551193	-0.163837	-0.102580	-0.563319	-0.800878	-1.910777	0.304631	-1.149895	0.412022	2.065232	-0.934272	0.729758	0.130378	-0.841035	1.573724	-2.565467	1.308237	1.052610	-0.316684	1.630370	0.328168	0.964205	0.939718	-0.829588	-1.488229	-1.021140	0.850651	-0.740232	-0.793127	-0.876127	-0.593830	-0.039737	1.491511	0.333870	-1.316889	0.800495	1.025688	-0.373651	1.978589	1.459954	-0.995233	1.007183	0.859270	-1.306802	0.562995
2C	-1.613761	-4.027785	-1.299753	-1.092797	-0.745473	-1.298641	0.421737	1.158411	-2.419538	0.062069	-0.458648	0.782532	1.835222	-0.703600	0.295631	-0.352576	-2.079761	1.643081	-0.386443	0.873312	0.649114	1.500147	-0.936337	0.046027	1.264487	1.028109	-2.205121	-0.258974	-0.588838	0.414626	-1.341243	-1.373166	-1.902313	-1.371357	0.137099	0.943756	-0.501232	0.007258	0.623581	1.096453	-0.189576	1.880914	0.973725	0.198415	0.968667	0.751224	-0.182321	0.441199
2C	-1.133430	-2.441747	-1.404335	-0.261883	-0.713341	-0.371733	0.358497	1.315243	-2.391432	0.215683	-0.872012	0.505700	2.048107	-0.787597	0.500985	-0.270088	-1.394093	1.649422	-1.120806	1.150594	0.709503	1.142229	-0.905284	-0.043130	0.963327	1.026759	-1.183286	-1.864494	-1.000212	0.428480	-1.308041	0.460334	-1.867589	-0.415750	0.064014	1.202399	-0.145287	0.052083	0.758007	0.944514	-1.283479	1.792224	0.865711	-1.465147	1.290035	0.245936	-0.374970	0.688368
2C	-1.159037	-1.741602	-2.324836	-0.711219	0.232170	-0.075240	0.503440	-0.941277	-2.061099	0.321704	-1.457067	0.726265	1.888238	-0.596474	0.967707	-1.016524	-1.251817	1.608805	-0.921658	1.590668	0.859844	0.452994	1.414052	0.375393	0.960036	1.122858	-1.686771	-1.605904	-1.406799	0.172107	-0.917811	-0.964510	-0.448612	-1.442833	-0.825288	0.920972	-0.088221	0.139892	1.190617	1.172186	-0.063833	1.895589	1.197632	0.204987	0.679587	-1.029636	-1.462257	0.972568
2C	-1.407787	-2.078699	-2.454052	-0.843293	-0.477528	0.000991	0.975221	-0.315531	-2.185164	0.240310	-0.051100	1.021661	1.662153	-0.079115	0.774452	-0.444683	-0.804226	1.588984	-0.845889	1.342927	1.106093	0.283843	0.909016	-0.088790	0.891567	1.093916	-2.925746	-1.703024	-1.640159	0.469478	-1.064372	-1.105957	-0.549889	-1.824100	-0.929549	1.191962	0.128492	0.235763	1.230291	1.097354	-0.365734	1.830243	0.791397	-1.263489	0.670792	0.536161	-0.208287	0.963939
4C	-0.601809	-1.430987	-0.880717	-0.926258	-0.566625	-0.059982	0.522683	0.657910	-2.263098	-0.374897	-1.672477	0.757026	1.830405	0.112838	0.257979	-0.914181	-0.973612	1.485717	-0.612444	-0.025353	-0.014697	1.803004	0.835656	-0.424001	1.135083	0.885396	-0.825011	-1.764032	-0.804487	0.913718	-1.156438	-1.194810	0.372101	0.750244	0.047993	0.742063	0.112877	0.303491	0.332126	1.013684	-0.223668	1.410175	-0.346826	-0.126254	1.670593	-1.249657	-1.671153	0.552199
