name	GCNF	CDX2	GATA6	PBX1	KLF4	NANOG	OCT4	Oct4Sox2	SOX2
65	65	0.024292	0.000175	0.000189	16.983537	42.551085	2.254613	211.385704	263.339294	93.989716
66	66	179.568564	96.671854	1.847158	0.275610	0.000249	0.000000	0.003209	0.004041	2.373163
67	67	197.340054	218.049670	8.754556	0.398383	0.002807	0.000001	0.000852	0.060850	1.142962
68	68	56.242702	273.905609	0.733819	2.556518	0.015234	0.000035	0.002719	0.069620	23.810780
69	69	9.658660	81.910926	0.002260	0.070240	0.056848	0.001516	0.191125	32.666297	416.663814
70	70	131.317921	306.568785	1.852927	1.429421	0.000516	0.000003	0.001573	0.058465	2.855636
71	71	21.754923	142.480236	0.280628	0.323210	0.000367	0.000001	0.000171	0.016414	0.849176
72	72	0.460011	70.501253	0.000628	1.220876	0.001696	0.000001	0.015947	0.052097	1.833437
73	73	67.997604	51.989595	0.054298	0.647109	0.005478	0.000008	0.002454	0.005894	1.253769
74	74	1.684888	114.975129	0.001593	3.304578	0.002071	0.000279	0.020920	0.002369	15.983273
75	75	100.540224	85.243268	9.067564	0.388020	0.000008	0.000000	0.000116	0.067462	0.192085
76	76	138.946242	98.058107	21.960013	8.705927	0.000037	0.000001	0.000112	0.003204	0.916179
77	77	9.420502	293.804768	0.000427	0.362432	0.002511	0.000009	0.075404	0.029447	13.401550
78	78	0.034417	0.000083	0.000141	78.461880	303.144954	3.783176	38.021248	121.817112	523.179789
79	79	54.989299	114.140581	5.432977	1.233597	0.000715	0.000002	0.001122	0.374285	0.060378
80	80	0.035467	0.000920	0.003950	104.387778	164.641589	4.473587	302.465965	76.459189	414.522040
81	81	0.015259	0.000921	0.000571	180.352549	143.023361	2.372577	604.206125	340.492922	150.300500
82	82	0.067283	0.006022	53.719315	3.845750	0.089224	0.000418	3.836490	1.636745	2.642294
83	83	1.194064	0.049017	4.577837	31.389519	0.000461	0.000046	0.372638	0.297166	0.050090
84	84	0.086951	0.001870	0.000092	67.916208	59.217759	2.169731	357.779273	254.367581	311.379251
85	85	0.101524	0.000328	0.003065	73.114062	72.277515	3.998811	120.795257	89.540843	96.858046
86	86	0.041310	0.002197	0.000057	144.984112	5.439413	0.477479	91.760160	5.843347	0.129081
87	87	160.833932	233.382083	2.733581	23.295865	0.000447	0.000009	0.000995	0.024735	1.243927
88	88	1.711381	110.247031	0.003847	7.121815	0.055569	0.000019	0.014354	0.022856	1.413747
89	89	3.136421	111.051880	4.250327	12.536216	0.010732	0.000000	0.053443	0.001961	0.513279
90	90	6.156793	26.069175	0.309007	2.168169	0.004209	0.000026	0.000384	0.006160	0.243756
91	91	14.185312	159.382785	0.010476	1.019466	0.005396	0.000015	0.002992	2.086477	1.749596
92	92	0.000960	0.000316	0.000071	65.764540	53.489952	5.134405	55.953249	73.191794	333.732181
93	93	2.354435	120.590379	0.009801	1.136284	0.052334	0.000078	0.000287	0.002321	0.946209
94	94	340.350165	26.316979	4.910041	0.378068	0.000998	0.000000	0.000279	0.055185	4.407116
95	95	18.211489	134.309822	0.289419	3.413744	0.000819	0.000001	0.196486	0.002949	0.101976
96	96	24.360351	592.906581	0.035126	1.641998	0.078985	0.000007	0.006615	0.057305	0.242838
97	97	3.390060	90.172774	0.007744	4.883881	0.000058	0.000004	0.024949	0.000908	1.940366
