1	101
2	131
3	117
4	74
5	33
6	20
7	13
8	8
9	4
10	336
1	101
2	120
3	134
4	74
5	39
6	17
7	15
8	9
9	2
10	322
1	116
2	133
3	105
4	70
5	33
6	22
7	12
8	16
9	12
10	314
1	126
2	106
3	119
4	60
5	31
6	16
7	15
8	8
9	5
10	347
1	100
2	116
3	101
4	80
5	41
6	20
7	20
8	12
9	7
10	336
1	92
2	139
3	112
4	61
5	31
6	20
7	19
8	15
9	3
10	341
1	107
2	116
3	127
4	81
5	31
6	16
7	13
8	11
9	8
10	323
1	111
2	114
3	124
4	72
5	37
6	15
7	15
8	12
9	10
10	323
1	110
2	113
3	119
4	71
5	30
6	14
7	13
8	12
9	8
10	343
1	100
2	136
3	111
4	72
5	38
6	19
7	11
8	9
9	7
10	330
1	93
2	127
3	112
4	59
5	44
6	19
7	15
8	14
9	10
10	340
1	88
2	122
3	111
4	80
5	31
6	17
7	6
8	13
9	8
10	357
