Name	Cdx2	Oct4	Oct4-Sox2	Sox2
1_112_1	-1.116865	1.027025	1.418757	1.150115
1_113_1	0.870029	-1.754914	-1.930651	-1.167086
1_114_1	1.117855	-0.830598	-0.968796	-0.647049
1_115_1	-0.406070	1.031224	1.440982	0.761994
1_116_1	1.236543	-0.782359	-1.326562	-1.693009
1_117_1	-0.740412	1.071322	1.303423	0.630454
1_118_1	1.143452	-1.443119	-1.835266	-1.576743
1_119_1	-0.400983	1.346130	1.214889	1.189762
1_120_1	0.870662	-0.647744	-1.112852	0.241989
1_121_1	0.790981	-1.989683	-1.962339	-1.745511
1_122_1	1.178348	-1.076150	-1.087961	-0.971339
1_123_1	0.896080	-1.612047	-0.834919	-2.280566
1_124_1	0.836604	-1.712902	-1.025435	-1.471453
1_125_1	0.996597	-1.807535	-2.244035	-1.672983
1_126_1	0.811805	-0.421153	-1.682650	0.193198
1_127_1	0.989447	-1.156312	-1.170615	-1.481089
1_128_1	-1.322564	1.114661	0.852055	0.687692
1_129_1	-0.962872	1.359561	1.286185	0.687880
1_130_1	-1.395450	0.929728	0.371165	1.308839
1_131_1	0.945997	-0.443593	-1.888189	-1.168513
1_132_1	-0.840049	0.910906	1.507319	0.804515
1_133_1	0.869521	-1.194187	-1.310820	-1.957126
1_134_1	1.050291	-1.212099	-1.153123	-2.043828
1_135_1	0.899721	-1.344210	-1.147650	-2.161484
1_136_1	-0.993609	0.209084	-0.829971	-1.989458
1_137_1	1.180997	-1.249931	-0.960557	-0.796157
1_138_1	1.169861	-1.270499	-0.393189	-2.212834
1_139_1	1.286417	-1.299645	-1.355671	-2.092403
1_140_1	0.850232	-1.436971	0.213043	0.818185
1_141_1	0.767061	-0.733609	-0.503780	-1.674156
1_142_1	0.974952	-1.155026	-1.831890	-1.071008
1_143_1	0.681249	-1.446459	-0.787535	-2.109508
1_144_1	0.948798	-0.538673	-1.442486	-1.024004
1_145_1	-1.761826	1.061075	0.925493	1.021085
1_146_1	0.936366	-1.708407	-2.400266	-0.726810
1_147_1	1.342905	-0.951143	-2.089273	-1.535643
1_148_1	-1.475769	1.328603	0.920486	0.783194
1_149_1	-1.255605	1.252759	1.097845	0.921920
1_150_1	0.985499	-0.679150	-1.020513	-1.698173
1_151_1	1.207953	-1.140338	-1.058774	-2.036560
1_152_1	-1.607511	1.003761	0.991157	1.132597
1_153_1	0.983710	-1.632718	-1.230424	-1.267698
1_154_1	-1.535685	1.065989	1.594357	1.538476
1_155_1	1.272149	-1.983140	-1.708110	-1.065062
1_156_1	-1.374125	1.111518	1.109027	1.273580
1_157_1	-1.264442	1.234041	1.233136	1.217713
1_158_1	1.005002	-1.219770	-1.556941	-0.925749
1_159_1	0.917206	-1.275527	-1.740444	-0.971549
1_160_1	-1.030333	1.057333	1.291870	0.861534
1_161_1	0.998341	-0.620920	-1.373307	-1.299859
1_162_1	1.090850	-0.737100	-1.124295	-0.979147
1_163_1	0.848104	-0.992150	-1.513678	-2.881413
1_164_1	0.987008	-0.776546	-2.390398	-0.454385
1_165_1	0.378178	-0.512059	-1.025894	-0.754794
1_166_1	1.208132	-0.833706	-1.027906	-1.311075
1_167_1	-0.945758	1.090979	1.496300	1.318855
1_168_1	1.063306	-0.301240	-1.121389	-1.104500
1_169_1	-1.252945	1.173444	1.172262	0.934590
1_170_1	0.893777	-0.859474	-1.292170	-1.572746
1_171_1	-0.529628	-0.118481	-1.401737	-0.719030
1_172_1	1.072621	-0.931060	-1.107219	-0.385677
1_173_1	0.976790	-1.474627	-1.521108	-0.895314
1_174_1	1.028334	-1.051215	-0.296131	0.498898
1_175_1	1.418981	-1.240373	-0.841968	-0.576963
1_176_1	-2.217214	1.428874	0.724598	0.072817
1_177_1	-1.536773	1.024307	1.052171	1.055326
1_178_1	1.041681	-0.184490	-0.760396	-0.813647
1_179_1	0.918209	-0.458426	-1.199067	0.048917
1_180_1	-2.568710	1.016103	0.560078	1.451034
1_181_1	0.938261	-0.504619	-1.803476	-1.723162
1_182_1	0.592749	-0.429093	-1.500245	-0.976777
1_183_1	1.180167	-1.449961	-2.523946	-1.868012
1_184_1	0.791454	-0.680111	-1.189997	-1.224619
1_185_1	-1.393212	0.917028	1.116520	1.453733
1_186_1	1.344253	-0.703663	-1.541600	-2.737958
1_187_1	1.136412	0.003661	0.034951	-1.629656
1_188_1	0.904770	-1.263698	-1.566892	-1.239966
1_189_1	-1.426914	0.795793	0.602498	-0.492297
1_190_1	-1.453445	1.109920	0.993373	0.992395
1_191_1	0.719706	-2.017249	-1.325077	-1.348522
1_192_1	-1.438522	0.961678	1.405501	1.351072
1_193_1	-1.172219	1.357968	0.967150	0.927941
1_194_1	-2.043248	0.823862	0.830610	1.572319
1_195_1	0.907418	-1.522302	-1.524124	-2.294542
1_196_1	1.126674	-0.751741	-2.044535	-1.218276
1_197_1	1.101923	-1.772765	-1.534994	-1.482110
1_198_1	0.747297	-0.986641	-1.282618	0.046811
1_199_1	1.214383	-1.187416	-1.424291	-0.889631
1_200_1	1.301073	-1.197844	-2.046561	-0.452673
1_201_1	1.034063	-0.257844	-0.558893	-1.935697
1_202_1	1.122178	-1.119593	-1.550204	-0.750035
1_203_1	0.873312	-0.760152	-1.171817	-2.426159
1_204_1	1.016722	-2.456523	-0.736686	-0.610410
1_205_1	1.041641	-0.784722	-0.814402	-0.756591
1_206_1	0.949129	-1.875538	-1.569289	-1.806929
1_207_1	-1.586511	1.324799	1.418811	1.475360
1_208_1	-0.964617	1.064746	0.781248	0.799149
1_209_1	1.099365	-0.743100	-1.382917	-1.001331
1_210_1	-1.305846	1.366264	0.959390	0.621269
1_211_1	0.978754	-1.463764	-1.307813	-1.613587
1_212_1	-1.264160	1.148554	1.069339	0.836790
1_213_1	-1.746578	0.610156	-0.739154	-1.146409
1_214_1	1.059034	-1.450958	-0.998268	-0.557126
1_215_1	0.920001	-1.172444	-2.176214	-0.564189
1_216_1	-1.932839	1.222831	0.917104	0.463843
1_217_1	1.275733	-1.154791	-1.508953	-1.590902
1_218_1	0.891432	-0.686920	-1.241063	0.421071
1_219_1	-0.969678	1.262244	0.788150	1.066829
1_220_1	0.995305	-0.574314	-1.718139	-1.392043
1_221_1	0.967183	-2.111102	-1.339836	-1.179915
1_222_1	-1.403165	1.325988	1.104544	1.023845
1_223_1	-1.231361	1.199840	1.266788	0.986303
1_224_1	-1.328784	1.122437	1.042414	0.924385
1_225_1	1.070295	-0.694800	-1.321307	-1.430535
1_226_1	-1.255695	1.252665	1.271088	0.941569
1_227_1	-0.491341	1.087338	0.845526	0.697750
1_228_1	1.017427	-0.708011	-0.705691	-1.862750
1_229_1	1.373041	-0.922280	-0.304203	0.286875
1_230_1	-0.762597	1.273673	1.180687	1.386729
1_231_1	-1.371086	1.325756	1.157830	1.183250
1_232_1	0.918028	-2.027533	-1.651785	-1.653466
1_233_1	1.351851	-1.499792	-1.172841	-1.213428
1_234_1	1.102076	-1.206076	-1.681190	-1.690101
1_235_1	1.283559	-1.195821	-2.109159	-0.815450
1_236_1	1.196059	-0.543998	-1.305665	-0.768541
1_237_1	0.974557	-0.531073	-0.858368	-1.301150
1_238_1	1.297022	-1.786417	-1.377275	-1.470398
1_239_1	1.112909	-2.128708	-0.503107	-0.011798
1_240_1	1.096376	-1.333086	-0.679403	-2.350288
1_241_1	0.815411	-1.328539	-1.417504	-1.390936
1_242_1	-1.740782	1.089715	1.145940	1.668329
1_243_1	-1.134278	1.488291	1.676666	1.408145
1_244_1	-1.321581	1.344833	1.318542	1.785732
1_245_1	-1.812059	1.037254	0.706169	0.471951
1_246_1	1.067571	-1.240670	-1.153304	-1.712035
1_247_1	1.019009	-1.107222	-0.546765	0.026885
1_248_1	1.383605	-0.943107	-1.527488	-1.632210
1_249_1	1.036545	-1.081731	-1.233351	-1.355713
1_250_1	0.915151	-1.883273	-1.125595	-1.370108
1_251_1	0.657394	-1.483823	-1.054165	-1.783756
1_252_1	-1.321877	1.149671	0.987146	0.648712
1_253_1	1.048382	-1.132373	-0.489271	-0.484710
1_254_1	-1.528345	1.159657	0.806217	1.341362
1_255_1	0.494529	-2.325659	-0.551057	0.099887
1_256_1	-0.909253	1.511671	1.037313	1.472427
1_257_1	-1.690897	1.189185	1.611884	1.167296
1_258_1	-1.306575	1.375182	0.878862	1.382083
1_259_1	-1.923403	1.226840	1.069476	0.923108
1_260_1	1.240605	-1.866896	-1.802786	-0.114012
1_261_1	-1.811587	0.957555	1.165881	1.380999
1_262_1	0.862667	-1.829877	-1.587131	-2.855597
1_263_1	0.810153	-1.845411	-1.274620	-2.518498
1_264_1	-1.476001	1.157634	0.563231	0.803713
1_265_1	0.941607	-1.347106	-1.317954	-1.409156
1_266_1	0.988023	-1.466199	-0.749539	-1.338434
