Name	Gcnf	Gata6	Pbx1	Klf4	Nanog
1_94_1	1.731338	0.907304	-1.445895	-1.231868	-1.837384
1_95_1	0.745296	0.151569	-0.434419	-1.275186	-1.428876
1_96_1	0.843265	-0.411377	-0.770842	-0.273644	-1.137827
1_97_1	0.179114	-0.814993	-0.269801	-1.855354	-1.256691
1_98_1	1.871759	0.752908	-1.330359	-1.776955	-0.969273
1_99_1	-0.277178	-0.567287	-1.187702	-1.150152	-1.009528
1_100_1	0.066449	-0.456923	-1.324005	-1.317452	-0.812221
1_101_1	1.268453	0.946345	-1.210625	-0.742000	-1.699461
1_102_1	-1.726417	-1.476507	1.064966	1.180430	1.217435
1_103_1	1.378052	0.993840	-2.842836	-1.311251	-1.481206
1_104_1	1.441011	1.488353	-0.060820	-0.706014	-0.566517
1_105_1	0.699136	1.073717	-2.175416	-1.266136	-1.812465
1_106_1	1.460711	0.444049	-0.950253	-1.732097	-0.727083
1_107_1	-1.023077	-1.601042	1.630493	0.472006	1.269499
1_108_1	-1.056972	-0.702022	0.816521	0.534132	0.803522
1_109_1	1.521812	0.519734	-2.225122	-1.260374	-1.261347
1_110_1	1.080475	0.679132	-0.946876	-0.235731	-2.106005
1_111_1	-0.195610	-0.625234	-1.142381	-0.834416	-0.618195
1_112_1	-1.760033	-0.685131	-0.525932	0.664634	0.862022
1_113_1	1.118733	1.595542	-0.550361	-1.329260	-1.265900
1_114_1	-0.603929	-0.058220	-1.424143	-1.110821	-1.100698
1_115_1	-1.412466	-1.575557	2.069721	1.542839	1.392503
1_116_1	0.176501	-0.763613	-0.802009	-0.826288	-1.232200
1_117_1	-1.650386	-0.618832	1.119201	0.681745	1.149078
1_118_1	1.085707	0.727076	-0.127050	-0.952412	-1.307248
1_119_1	0.017140	0.666267	-1.683485	0.704949	0.128036
1_120_1	-0.083113	-0.643357	-0.713659	-1.187866	-0.217439
1_121_1	1.378140	1.006949	0.899912	-2.025092	-1.551077
1_122_1	0.371723	-0.798365	-1.175283	-1.054397	-0.798341
1_123_1	1.174865	0.954139	-0.821130	-1.345316	-1.969034
1_124_1	0.086039	-0.491624	-1.030335	-1.196314	-0.411888
1_125_1	1.317789	1.062874	-0.675940	-1.256719	-0.996256
1_126_1	0.294204	-0.833162	-0.587614	-0.479717	-0.934814
