,og,sf1,sf2,sf3
Cdx2,0.18356117762391116,1.0531113364595626,1.2406196293117597,1.2028878334701434
Gata6,-0.04774069295138475,-0.46195854666633634,-0.22431729826094016,-0.3640134962543769
Gcnf,0.8515333930425271,3.6341285575250404,3.786073551578548,3.784713357436993
Klf4,0.293373871173854,1.817623257511431,1.9796595517158244,1.9756301862808239
Nanog,-0.484848833676181,-3.643856189774725,-3.395928676331139,-3.380821783940931
Oct4,0.19889826923237208,-1.6303939299681622,-1.2481078615956909,-0.9077925619029115
Oct4-Sox2,0.730759202090782,-0.013043037475598882,0.9297909977185974,1.0524158941511386
Pbx1,1.6657826922559875,5.219633206435974,5.3716285563411565,5.37016428054021
Sox2,1.6228217023138145,1.9712216418545025,1.9981955031532521,2.1984941536390834
