67.0919,11.2341,,
11,24911,0.1535,0.9920
11,21333,-2.0731,0.0231
11,2837,-1.8919,1.7797
11,22768,-1.1344,1.4925
11,22674,-2.4457,1.8862
11,20213,-0.8861,1.6611
11,11689,-0.8916,0.2225
11,16428,-0.9647,-0.1158
11,10521,-0.9516,1.3145
11,24910,-0.4999,0.9649
11,6757,-1.3788,1.2618
11,17988,-1.6709,1.3698
11,1364,-1.8660,-0.4299
11,16107,-1.3102,-0.1081
11,606,-1.4350,-0.2312
11,21156,-0.8723,-0.0747
11,11948,-1.4456,-0.2370
11,25591,-1.1398,-0.1853
11,15942,-1.4693,-0.5267
11,20577,-1.2287,-0.4350
11,22911,-1.5212,0.0274
11,25852,-1.8439,0.2773
11,22972,-1.9579,1.9555
11,14008,-1.2721,0.8633
11,10619,-0.9746,0.7484
11,18037,-1.2313,2.0960
11,18161,-1.7279,2.0464
11,21038,-1.8744,2.1086
11,15696,-1.4982,0.8644
11,19098,-1.7229,0.8322
11,23795,-1.6202,1.6758
11,26681,-1.1420,1.6286
11,9013,-1.2611,-0.0766
11,13871,-1.2027,0.2176
11,9208,-1.3036,1.5735
11,26308,-1.5411,1.7177
11,4473,-1.4183,1.3428
11,7225,-1.4872,1.6465
11,16754,-0.9663,0.4070
11,26356,-1.0484,0.4147
11,24649,-0.9659,0.3340
11,24907,-1.0388,0.3186
11,2428,-1.3348,0.3103
11,13426,-1.4261,0.5780
34,14431,-1.9048,0.9323
34,7953,-3.0620,1.0743
34,11029,-2.9394,1.1134
34,459,-3.5689,-0.2117
34,8205,-2.0993,1.1473
34,13140,-2.3449,1.2370
34,14037,-2.3665,1.3153
34,8586,-3.0896,1.1958
34,21785,-3.4292,0.6197
34,20739,-2.6666,1.6012
34,7827,-3.3317,0.6791
34,1050,-2.7101,1.2302
34,2109,-2.5518,0.9191
34,8979,-2.7930,0.6831
34,1311,-3.1543,0.3732
34,5166,-2.4558,1.4435
34,19723,-2.4657,1.3344
34,1953,-3.2725,0.4050
34,8686,-3.1733,0.3650
34,2647,-2.7783,0.2922
34,11454,-2.6674,0.5149
34,2375,-3.0767,0.4710
34,4873,-3.3581,0.3784
40,4520,-0.8800,-1.1170
40,2986,-1.6777,-0.7294
40,14873,-1.6088,-0.8322
29,15139,-0.7409,0.4557
29,12933,0.4641,-0.4815
29,15417,0.6212,-0.0555
29,12934,-0.5320,-0.0383
29,917,0.5283,0.0423
29,24889,0.5892,0.6571
28,6427,0.1604,-2.5144
28,10673,0.4530,-1.2560
28,14731,-0.5270,-1.4111
28,10534,0.7663,-2.0792
28,10535,1.0418,-2.2250
36,10893,-2.2244,-0.2432
36,23270,-1.5811,-1.1348
36,25505,-1.2780,-0.2251
36,3613,-1.6342,0.0456
36,6423,-1.2779,-0.3549
36,19316,-0.8859,-0.2501
36,14767,-1.0316,-0.6490
36,20064,-1.1300,-0.3008
36,1905,-1.2977,-0.2971
36,3628,-1.3138,0.1748
19,17386,-1.5530,0.6597
19,8403,-2.9555,0.5999
19,17387,-0.6119,-0.3549
19,14881,-2.3980,0.7974
19,23463,-1.8674,-0.0401
19,4439,-1.2626,0.0758
19,6417,-1.9602,0.2841
19,8730,-2.3125,0.8709
19,14792,-1.8650,1.0011
19,6418,-1.1423,-0.8249
19,24558,-1.8665,-0.9647
19,2561,-2.3412,1.1854
19,23125,-2.1321,1.4859
19,4227,-1.8498,1.1076
19,17703,-1.3368,0.5737
19,12669,-2.4705,0.6660
19,24559,-2.5224,0.0999
19,14051,-1.7641,-0.7535
19,25606,-1.4739,-0.6149
19,19949,-1.5265,-0.3735
19,24734,-1.7384,0.0438
25,19205,-0.4331,1.3987
25,20216,-0.0769,0.6553
25,21625,1.6110,0.3884
25,17519,0.6463,1.6743
25,10263,1.4189,1.0990
25,19637,1.6891,0.9331
25,15029,0.0051,0.8455
25,22419,0.4958,1.1110
25,9247,0.7006,0.9055
25,17267,0.3544,2.2123
25,26593,0.6004,0.9302
25,19448,0.3750,0.7296
25,24500,0.2714,1.5702
25,26094,1.1927,0.9552
25,5346,0.2868,1.2683
25,24994,1.1364,1.4293
25,15126,1.1236,2.3041
25,24072,0.0864,0.1182
25,24076,-0.4685,0.7093
25,26430,1.0426,1.2359
25,26706,0.1726,0.6085
25,3625,0.7374,-0.1819
25,13391,-0.2419,0.7519
25,16396,0.7586,1.1242
25,22418,1.4303,1.0514
25,13408,0.5891,1.4019
25,19185,0.4305,1.2368
25,20012,0.5026,1.4464
25,20217,0.4548,1.1574
25,14096,1.1571,1.5461
25,15777,1.0013,1.0408
25,11020,0.0114,1.0951
25,19049,0.7551,1.7459
25,8173,0.7043,0.0318
25,8162,0.6309,1.9861
25,19417,0.8384,1.7205
25,12006,1.5489,0.9917
25,6814,1.5249,0.9255
25,12218,0.8892,1.0259
25,20643,-0.2523,0.9485
25,8944,0.1579,0.9534
25,22702,0.3367,0.6252
25,20920,1.4314,0.9584
25,14180,1.3573,0.0614
25,13952,0.5917,1.4953
25,13726,0.3472,0.5370
