1	89
2	144
3	133
4	84
5	28
6	24
7	15
8	7
9	8
10	305
1	94
2	152
3	120
4	82
5	24
6	28
7	16
8	13
9	7
10	297
1	116
2	119
3	123
4	64
5	41
6	17
7	16
8	7
9	9
10	321
1	101
2	115
3	129
4	75
5	43
6	21
7	12
8	9
9	8
10	320
1	107
2	140
3	119
4	88
5	37
6	19
7	15
8	14
9	7
10	287
1	98
2	141
3	145
4	83
5	36
6	11
7	13
8	7
9	4
10	295
1	97
2	130
3	111
4	76
5	55
6	15
7	20
8	9
9	11
10	309
1	111
2	121
3	121
4	87
5	41
6	22
7	15
8	13
9	6
10	296
1	103
2	127
3	130
4	81
5	38
6	24
7	7
8	11
9	5
10	307
1	88
2	148
3	138
4	77
5	36
6	16
7	12
8	4
9	9
10	305
1	83
2	122
3	134
4	78
5	43
6	16
7	14
8	10
9	8
10	325
1	88
2	129
3	129
4	76
5	41
6	20
7	12
8	6
9	11
10	321
