NODE1X	GENE17165X	GENE17164X	0.999999	2
NODE2X	GENE26644X	GENE26643X	0.999958	20
NODE3X	GENE22486X	GENE22485X	0.999903	19
NODE4X	NODE3X	GENE22484X	0.999867	19
NODE5X	GENE26645X	NODE2X	0.999858	20
NODE6X	GENE26179X	GENE26176X	0.999834	53
NODE7X	GENE22001X	GENE22000X	0.999750	51
NODE8X	GENE26177X	GENE26175X	0.999699	53
NODE9X	GENE26646X	NODE5X	0.999626	20
NODE10X	GENE26178X	NODE8X	0.999528	53
NODE11X	GENE11358X	GENE3521X	0.999517	2
NODE12X	GENE22106X	GENE11414X	0.999343	5
NODE13X	GENE26647X	NODE9X	0.999324	20
NODE14X	GENE2067X	GENE127X	0.999320	2
NODE15X	GENE22490X	GENE22489X	0.999286	51
NODE16X	NODE6X	NODE10X	0.999150	53
NODE17X	GENE25915X	GENE25913X	0.999107	23
NODE18X	GENE10096X	GENE10095X	0.998988	51
NODE19X	GENE8153X	GENE2891X	0.998978	2
NODE20X	GENE22651X	GENE22650X	0.998810	31
NODE21X	GENE26378X	GENE7372X	0.998725	2
NODE22X	GENE13843X	GENE8332X	0.998671	2
NODE23X	GENE10569X	GENE2170X	0.998669	2
NODE24X	GENE22112X	GENE12521X	0.998664	2
NODE25X	GENE7307X	GENE84X	0.998576	2
NODE26X	GENE16845X	GENE9104X	0.998570	2
NODE27X	GENE14027X	GENE8232X	0.998539	4
NODE28X	GENE20542X	GENE9076X	0.998479	2
NODE29X	GENE26293X	GENE5759X	0.998477	53
NODE30X	GENE10692X	GENE9877X	0.998468	2
NODE31X	GENE25914X	GENE25912X	0.998460	23
NODE32X	GENE26664X	GENE5908X	0.998455	2
NODE33X	GENE18468X	GENE6915X	0.998447	2
NODE34X	GENE20582X	GENE16580X	0.998412	2
NODE35X	GENE18882X	GENE13975X	0.998406	2
NODE36X	GENE13547X	GENE5271X	0.998400	2
NODE37X	GENE22472X	GENE21584X	0.998390	2
NODE38X	GENE23554X	GENE12954X	0.998388	2
NODE39X	GENE19864X	GENE15416X	0.998361	4
NODE40X	GENE13164X	GENE3332X	0.998352	53
NODE41X	GENE25361X	GENE15821X	0.998348	2
NODE42X	GENE23767X	GENE3306X	0.998323	2
NODE43X	GENE14326X	GENE5424X	0.998322	2
NODE44X	GENE15599X	GENE5752X	0.998321	2
NODE45X	GENE12217X	GENE9119X	0.998318	2
NODE46X	GENE8001X	GENE6659X	0.998286	2
NODE47X	GENE24904X	GENE7743X	0.998272	2
NODE48X	GENE23105X	GENE13558X	0.998268	2
NODE49X	GENE10163X	GENE2742X	0.998252	2
NODE50X	GENE26194X	GENE18098X	0.998244	5
NODE51X	GENE12801X	GENE4619X	0.998206	2
NODE52X	GENE18972X	GENE16487X	0.998203	5
NODE53X	GENE15863X	GENE1801X	0.998197	40
NODE54X	GENE17370X	GENE5245X	0.998192	2
NODE55X	GENE7706X	GENE6176X	0.998178	2
NODE56X	GENE9737X	GENE3358X	0.998169	2
NODE57X	GENE13128X	GENE5797X	0.998155	2
NODE58X	GENE21635X	GENE14666X	0.998147	2
NODE59X	GENE10356X	GENE646X	0.998144	51
NODE60X	GENE19031X	GENE13814X	0.998119	53
NODE61X	GENE24770X	GENE277X	0.998108	53
NODE62X	GENE17304X	GENE6092X	0.998099	2
NODE63X	GENE18001X	GENE18000X	0.998096	4
NODE64X	GENE21815X	GENE12079X	0.998062	2
NODE65X	GENE13896X	GENE4423X	0.998061	2
NODE66X	GENE17940X	GENE4933X	0.998048	2
NODE67X	GENE12076X	GENE2317X	0.998036	2
NODE68X	GENE24825X	GENE24053X	0.998034	2
NODE69X	GENE10286X	GENE251X	0.998019	2
NODE70X	GENE17286X	GENE9368X	0.998012	2
NODE71X	GENE8194X	GENE6760X	0.998011	51
NODE72X	GENE22990X	GENE7692X	0.998009	2
NODE73X	GENE20614X	GENE17028X	0.998007	2
NODE74X	GENE25186X	GENE14562X	0.997999	51
NODE75X	GENE4551X	GENE1730X	0.997993	2
NODE76X	GENE26136X	GENE23394X	0.997985	2
NODE77X	GENE18542X	GENE14879X	0.997947	5
NODE78X	GENE14606X	GENE9520X	0.997941	2
NODE79X	GENE24597X	GENE21541X	0.997891	2
NODE80X	GENE22348X	GENE5701X	0.997887	2
NODE81X	GENE11993X	GENE1499X	0.997872	2
NODE82X	GENE17540X	GENE1343X	0.997871	2
NODE83X	GENE21126X	GENE8728X	0.997871	2
NODE84X	GENE21812X	GENE2636X	0.997869	2
NODE85X	GENE24274X	GENE15157X	0.997866	2
NODE86X	GENE11803X	GENE8971X	0.997864	39
NODE87X	GENE22257X	GENE17060X	0.997862	2
NODE88X	GENE5413X	GENE5088X	0.997847	2
NODE89X	NODE7X	GENE21999X	0.997842	51
NODE90X	GENE20427X	GENE18754X	0.997835	2
NODE91X	GENE1709X	NODE25X	0.997834	2
NODE92X	GENE23807X	GENE20475X	0.997833	53
NODE93X	GENE17238X	GENE16923X	0.997827	2
NODE94X	NODE51X	GENE3721X	0.997827	2
NODE95X	GENE14552X	GENE4374X	0.997824	2
NODE96X	GENE25157X	GENE759X	0.997815	2
NODE97X	GENE15698X	GENE812X	0.997814	2
NODE98X	GENE5366X	GENE1908X	0.997809	53
NODE99X	GENE26526X	GENE23040X	0.997802	4
NODE100X	GENE14841X	GENE12918X	0.997790	53
NODE101X	GENE15715X	GENE15330X	0.997790	2
NODE102X	GENE21168X	GENE8751X	0.997777	5
NODE103X	GENE3498X	GENE787X	0.997773	2
NODE104X	GENE13354X	GENE9492X	0.997755	2
NODE105X	GENE4484X	GENE2071X	0.997750	2
NODE106X	GENE19809X	GENE4815X	0.997750	2
NODE107X	GENE9009X	GENE6853X	0.997729	2
NODE108X	GENE24361X	GENE14981X	0.997729	4
NODE109X	GENE18614X	GENE14610X	0.997722	2
NODE110X	GENE11673X	GENE8319X	0.997718	2
NODE111X	GENE18209X	GENE451X	0.997717	2
NODE112X	GENE21643X	GENE5320X	0.997711	2
NODE113X	GENE24687X	GENE12624X	0.997711	2
NODE114X	GENE24719X	GENE9605X	0.997702	2
NODE115X	GENE3739X	GENE3387X	0.997686	2
NODE116X	GENE22638X	GENE4882X	0.997684	53
NODE117X	GENE11968X	GENE3267X	0.997681	2
NODE118X	GENE10863X	GENE8460X	0.997681	2
NODE119X	GENE20824X	GENE16212X	0.997679	2
NODE120X	GENE7390X	GENE6981X	0.997667	53
NODE121X	GENE17278X	GENE11521X	0.997667	5
NODE122X	GENE11573X	GENE3295X	0.997664	2
NODE123X	GENE24008X	GENE13075X	0.997660	2
